,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
261,katsuura,75,JP,1567459753,94,33.93,134.5,75.2,6.93
262,mehamn,90,NO,1567459753,100,71.03,27.85,50.0,8.05
263,okhotsk,97,RU,1567459753,83,59.36,143.24,53.15,1.99
264,ouallam,100,NE,1567459754,42,14.32,2.08,90.77,9.57
265,port elizabeth,0,CD,1567459754,57,-7.04,29.76,66.29,3.18
266,provideniya,90,RU,1567459755,76,64.42,-173.23,51.8,13.42
267,emerald,0,AU,1567459755,40,-23.53,148.16,51.8,4.7
268,gbarnga,97,LR,1567459755,99,7.0,-9.47,71.33,4.52
269,chor,79,PK,1567459756,74,25.52,69.77,85.91,13.24
270,eureka,90,US,1567459697,82,40.8,-124.16,86.0,5.82
271,mao,40,DO,1567459756,44,19.55,-71.08,95.0,17.22
272,zhigansk,99,RU,1567459757,87,66.77,123.37,41.09,11.79
273,bukama,15,CD,1567459757,28,-9.2,25.85,75.65,2.3
274,ambilobe,0,MG,1567459757,71,-13.19,49.05,70.07,4.14
275,tusnad,51,RO,1567459758,64,46.2,25.9,64.0,2.15
276,klaksvik,46,FO,1567459758,81,62.23,-6.59,44.6,3.36
277,alugan,99,PH,1567459758,86,12.22,125.48,76.91,4.7
278,asyut,0,EG,1567459759,48,27.18,31.19,84.2,5.82
279,coxim,68,BR,1567459759,29,-18.5,-54.75,92.93,1.7
280,gombe,100,NG,1567459760,85,10.28,11.16,73.49,1.05
281,purranque,0,CL,1567459760,30,-40.91,-73.16,53.6,11.41
282,ayagoz,0,KZ,1567459761,45,47.96,80.43,50.99,5.08
283,kurchum,28,KZ,1567459761,52,48.57,83.65,62.33,4.59
284,nuevitas,75,CU,1567459762,62,21.55,-77.27,89.6,14.99
285,sinnamary,0,GF,1567459763,81,5.38,-52.96,81.59,13.96
286,olga,1,US,1567459763,25,34.11,-118.17,99.0,7.09
287,dhidhdhoo,99,MV,1567459764,79,6.88,73.1,81.77,9.35
288,rio gallegos,40,US,1567459764,61,41.11,-90.4,84.0,8.05
289,iskateley,65,RU,1567459764,80,67.68,53.15,46.49,8.21
290,charters towers,1,US,1567459765,54,38.57,-83.43,84.0,6.93
291,goderich,44,CA,1567459516,77,43.74,-81.71,73.0,14.0
292,limenaria,0,GR,1567459765,73,40.63,24.58,79.0,2.24
293,usinsk,83,RU,1567459766,85,66.0,57.56,42.89,5.37
294,campos do jordao,0,PT,1567459767,64,41.97,-8.7,79.0,4.7
295,berdigestyakh,100,RU,1567459767,93,62.1,126.7,49.91,3.6
296,antsohihy,28,MG,1567459768,60,-14.88,47.99,76.19,10.18
297,flinders,0,AU,1567459768,58,-34.58,150.85,59.0,11.41
298,bestobe,1,KZ,1567459768,81,52.5,73.1,47.03,12.01
299,pangody,84,RU,1567459769,83,65.85,74.49,49.37,10.54
300,bac lieu,0,RS,1567459769,73,45.39,19.24,71.6,20.8
301,fare,100,PF,1567459769,79,-16.7,-151.02,76.73,19.46
302,zaykovo,100,RU,1567459770,99,57.56,62.76,47.75,4.32
303,dauphin,90,CA,1567459770,81,51.15,-100.04,53.6,9.17
304,las choapas,75,PL,1567459770,93,49.74,19.43,55.99,9.17
305,rawson,64,AR,1567459770,45,-43.3,-65.11,40.37,21.32
306,bur gabo,90,FI,1567459771,93,63.56,22.87,57.99,10.29
307,tacoronte,75,ES,1567459771,88,28.48,-16.41,71.01,17.22
308,rio grande,40,US,1567459772,61,41.11,-90.4,84.0,8.05
309,grand river south east,0,FR,1567459772,50,48.39,5.49,57.2,2.24
310,lompoc,1,US,1567459772,64,34.64,-120.46,88.0,12.75
311,lang son,28,LA,1567459773,99,20.63,101.85,65.75,0.69
312,teya,75,MX,1567459773,94,21.05,-89.07,81.0,6.93
313,yumen,0,CN,1567459773,29,40.29,97.04,68.81,12.57
314,waddan,2,LY,1567459774,31,29.16,16.14,85.01,6.02
315,parana,90,BR,1567459774,100,-7.52,-72.89,73.4,4.7
316,gazanjyk,0,TM,1567459774,16,39.24,55.52,77.09,11.88
317,synya,75,RU,1567459775,96,65.37,58.04,41.81,3.29
318,tura,98,RU,1567459775,96,64.27,100.22,48.29,0.92
319,xianyang,0,CN,1567459775,82,34.31,108.72,64.4,6.71
320,alofi,40,NU,1567459692,73,-19.06,-169.92,75.2,16.11
321,ures,0,MX,1567459776,44,30.73,-112.95,100.0,5.01
322,tucuman,0,PE,1567459776,19,-17.17,-70.89,67.37,10.87
323,hofn,7,IS,1567459777,84,64.25,-15.21,30.83,7.85
324,lagoa,0,PT,1567459733,88,37.14,-8.45,78.01,2.24
325,shingu,67,JP,1567459777,96,33.72,135.99,68.27,1.45
326,takoradi,94,GH,1567459778,94,4.89,-1.75,74.03,4.41
327,saskylakh,0,RU,1567459778,83,71.97,114.09,31.37,7.76
328,myitkyina,98,MM,1567459779,98,25.38,97.4,71.87,1.36
329,komsomolskiy,100,RU,1567459779,91,67.55,63.78,41.45,5.5
330,new guinlo,75,LR,1567459779,94,6.65,-10.59,78.8,10.13
331,tambacounda,75,SN,1567459780,83,13.77,-13.67,77.0,4.7
332,rengo,0,CL,1567459780,23,-34.41,-70.86,64.4,10.29
333,zakamensk,100,RU,1567459781,95,50.38,103.29,49.91,0.81
334,miri,65,NG,1567459781,90,10.31,9.75,72.05,1.07
335,chabahar,0,IR,1567459782,77,25.29,60.65,81.59,4.12
336,wenchi,100,GH,1567459782,94,7.74,-2.1,72.41,6.2
337,chulym,100,RU,1567459782,66,55.09,80.97,50.27,4.5
338,saint-francois,0,FR,1567459783,50,46.42,3.91,57.2,2.24
339,miranda,25,BR,1567459783,33,-20.24,-56.38,91.49,6.58
340,santa fe,100,PH,1567459783,79,17.49,120.43,82.49,25.26
341,davila,90,PH,1567459783,94,18.47,120.58,77.0,6.93
342,zilair,20,RU,1567459784,94,52.23,57.44,38.39,2.48
343,san felipe,41,ML,1567459784,66,13.3,-4.9,83.21,5.35
344,jumla,27,NP,1567459785,94,29.28,82.18,52.79,2.08
345,izhma,22,RU,1567459785,93,65.01,53.91,43.07,1.66
346,poum,0,MK,1567459785,77,41.28,20.71,60.8,2.24
347,damghan,0,IR,1567459786,79,36.17,54.34,56.21,0.6
348,jitotol,40,MX,1567459786,40,17.07,-92.86,87.8,8.05
349,caohe,100,CN,1567459786,95,32.93,105.08,56.03,0.74
350,hirara,0,JP,1567459787,81,24.8,125.28,83.57,15.23
351,necochea,0,AR,1567459787,85,-38.55,-58.74,39.99,8.99
352,kaseda,75,JP,1567459787,100,31.42,130.32,71.6,3.36
353,kidal,90,ML,1567459788,44,18.44,1.41,85.91,13.94
354,ibra,66,OM,1567459788,49,22.69,58.55,83.21,1.97
355,lucapa,66,AO,1567459789,74,-8.42,20.74,72.05,3.22
356,coronado,90,PA,1567459789,79,8.53,-79.9,84.2,2.28
357,helena,20,US,1567459605,17,46.59,-112.04,89.6,14.99
358,wattegama,65,LK,1567459790,83,7.35,80.68,72.41,4.47
359,carnarvon,0,ZA,1567459790,19,-30.97,22.13,53.87,4.05
360,atherton,14,AU,1567459791,82,-17.27,145.48,60.8,3.36
361,songea,5,TZ,1567459791,56,-10.68,35.65,69.8,5.82
362,maturin,26,VE,1567459791,80,9.75,-63.18,81.77,1.77
363,taldan,5,RU,1567459792,96,53.69,124.82,47.39,2.19
364,carbonia,5,IT,1567459792,83,39.17,8.53,75.2,11.41
365,barra patuca,40,GM,1567459792,88,13.49,-16.54,80.6,4.7
366,rizhao,0,CN,1567459793,92,35.43,119.46,62.87,2.95
367,darhan,94,MN,1567459793,87,49.49,105.92,57.83,2.42
368,zuwarah,0,LY,1567459794,69,32.93,12.08,79.97,5.61
369,tigil,60,RU,1567459794,48,57.8,158.67,47.75,8.14
370,morwell,23,AU,1567459794,97,-38.24,146.4,44.01,2.77
371,san cristobal,41,ML,1567459795,66,13.3,-4.9,83.21,5.35
372,hailey,20,US,1567459796,16,43.52,-114.32,87.01,9.17
373,ipixuna,40,BR,1567459796,69,-1.76,-48.8,80.6,3.36
374,jefferson city,40,US,1567459797,69,42.02,-94.38,84.0,9.17
375,kuna,1,US,1567459715,20,43.49,-116.42,91.4,5.82
376,tamparan,93,PH,1567459797,86,7.88,124.34,69.53,3.15
377,seoul,90,KR,1567459649,100,37.57,126.98,71.6,1.12
378,guerrero negro,0,AR,1567459798,26,-24.19,-65.45,71.6,8.05
379,churapcha,99,RU,1567459798,88,62.0,132.43,49.01,5.86
380,levelland,20,US,1567459504,29,33.59,-102.38,93.99,10.29
381,westport,90,US,1567459799,88,41.14,-73.36,75.2,16.11
382,pampas,100,PE,1567459799,42,-12.4,-74.87,55.49,10.94
383,riyadh,0,SA,1567459783,24,24.63,46.72,89.6,2.62
384,altamont,90,CA,1567459800,100,49.4,-98.5,57.99,10.98
385,srednekolymsk,31,RU,1567459800,45,67.46,153.71,47.21,2.55
386,tsabong,0,BW,1567459801,11,-26.02,22.4,58.01,8.52
387,olinda,0,AU,1567459801,81,-37.84,145.39,53.01,3.36
388,codrington,0,AU,1567459802,93,-28.95,153.24,55.99,8.05
389,litoral del san juan,0,BR,1567459803,73,-30.01,-50.16,54.59,5.97
390,richards bay,1,US,1567459803,56,46.84,-95.91,71.6,11.41
391,liberal,1,US,1567459513,26,37.04,-100.92,98.6,19.46
392,passo de camaragibe,93,CH,1567459806,46,46.31,8.38,73.4,8.05
393,wajima,100,JP,1567459807,92,37.4,136.9,71.51,15.52
394,wanning,75,AT,1567459807,93,48.64,13.53,60.01,3.36
395,cayenne,0,GF,1567459808,78,4.94,-52.33,82.4,4.7
396,xining,57,CN,1567459808,85,36.62,101.77,47.93,3.49
397,port blair,0,CD,1567459809,57,-7.04,29.76,66.29,3.18
398,pisco,40,PE,1567459813,30,-13.71,-76.2,71.6,11.41
399,tobermory,5,CA,1567459815,55,45.25,-81.67,72.0,4.0
400,lugovoy,100,RU,1567459815,97,59.72,65.88,48.29,6.22
401,ketchikan,90,US,1567459815,72,55.34,-131.65,62.6,13.87
402,jakhal mandi,0,IN,1567459816,66,29.8,75.82,83.39,2.98
403,tahe,83,CN,1567459816,97,52.34,124.71,51.71,1.95
404,montlucon,55,FR,1567459816,61,46.33,2.6,59.0,3.78
405,yangambi,100,CD,1567459817,91,0.77,24.47,72.23,2.8
406,marsh harbour,20,GB,1567459817,82,53.65,-1.81,60.8,17.22
407,hualmay,0,PE,1567459817,88,-11.1,-77.61,60.71,11.07
408,abu dhabi,75,JP,1567459818,94,34.51,131.49,77.0,3.36
409,nantucket,1,US,1567459818,83,41.28,-70.1,73.4,6.93
410,santiago del estero,100,PH,1567459540,95,16.69,121.54,71.69,1.63
411,port-gentil,40,GA,1567459819,83,-0.72,8.78,77.0,11.41
412,wawa,100,NG,1567459819,91,9.9,4.41,74.93,1.97
413,valparaiso,1,US,1567459726,57,41.47,-87.06,84.0,3.36
414,kupang,20,ID,1567459782,73,-10.16,123.6,69.8,9.17
415,ahipara,77,NZ,1567459821,100,-35.17,173.16,59.0,21.39
416,manta,0,RO,1567459821,42,45.1,24.1,65.39,4.21
417,belaya gora,31,RU,1567459822,48,51.06,35.71,68.27,3.96
418,poyarkovo,94,RU,1567459822,81,49.62,128.65,52.79,5.08
419,pascagoula,40,US,1567459822,52,30.37,-88.56,95.0,10.29
420,asosa,100,ET,1567459823,95,10.07,34.53,65.03,2.44
421,sembakung,93,ID,1567459823,90,3.82,117.25,73.85,1.63
422,bermeo,20,ES,1567459823,87,43.42,-2.72,66.0,2.24
423,tongliao,7,CN,1567459824,97,43.61,122.27,63.41,6.71
424,talnakh,40,RU,1567459824,100,69.49,88.39,44.6,8.95
425,dilla,74,ET,1567459825,77,6.41,38.31,70.79,9.46
426,caceres,13,CO,1567459825,77,5.53,-74.53,77.09,3.91
427,hokitika,0,NZ,1567459825,60,-42.72,170.96,47.93,0.87
428,hobyo,13,SO,1567459826,76,5.35,48.53,76.55,26.37
429,dalvik,20,SE,1567459826,93,57.79,14.13,50.0,5.82
430,tutoia,77,BR,1567459827,76,-2.76,-42.27,79.61,9.35
431,praia,0,BR,1567459827,36,-20.25,-43.81,84.2,6.93
432,san patricio,41,ML,1567459795,66,13.3,-4.9,83.21,5.35
433,harper,40,US,1567459828,28,30.3,-99.24,98.01,3.36
434,bilibino,99,RU,1567459828,62,68.06,166.44,35.87,0.85
435,antofagasta,40,CL,1567459793,67,-23.65,-70.4,59.0,12.75
436,taoudenni,58,ML,1567459829,17,22.68,-3.98,103.73,5.75
437,aksarka,100,RU,1567459829,82,66.56,67.8,43.07,7.65
438,bull savanna,75,LR,1567459830,94,6.2,-10.28,78.8,14.79
439,bayir,0,TR,1567459830,83,37.27,28.22,73.4,4.7
440,bantou,100,CN,1567459831,98,26.22,117.49,67.73,2.19
441,faya,0,SA,1567459831,37,18.39,42.45,71.6,5.21
442,havre-saint-pierre,90,CA,1567459832,71,50.23,-63.6,57.2,16.11
443,worthington,90,US,1567459802,78,43.62,-95.6,80.01,13.87
444,jaen,2,PE,1567459833,38,-5.71,-78.81,77.81,4.68
445,george,0,MW,1567459833,71,-15.35,34.83,67.37,4.05
446,hay river,0,AU,1567459834,51,-34.51,144.84,50.27,14.38
447,filotion,0,GR,1567459834,60,37.05,25.5,79.0,10.29
448,san quintin,41,ML,1567459802,66,13.3,-4.9,83.21,5.35
449,ligayan,100,PH,1567459834,75,4.65,119.47,83.21,14.38
450,rio esteban,40,US,1567459772,61,41.11,-90.4,84.0,8.05
451,moose factory,1,US,1567459836,11,43.66,-110.72,89.6,16.11
452,lesozavodsk,0,RU,1567459836,91,45.47,133.42,54.77,4.29
453,aginskoye,100,RU,1567459837,96,51.11,114.54,53.69,0.81
454,tiznit,0,MA,1567459837,91,29.7,-9.73,66.83,3.53
455,palmer,90,AU,1567459837,93,-34.85,139.16,51.01,6.93
456,apiai,91,BR,1567459838,91,-24.51,-48.84,59.99,3.38
457,kudat,75,MY,1567459838,94,6.89,116.84,77.0,2.24
458,nedjo,89,ET,1567459838,93,9.5,35.5,58.37,2.77
459,ndioum,75,SN,1567459839,94,16.51,-14.65,77.0,2.24
460,morondava,0,MG,1567459839,69,-20.3,44.28,76.91,21.14
461,boksitogorsk,0,RU,1567459839,91,59.47,33.85,53.01,5.37
462,najran,0,SA,1567459840,14,17.54,44.22,91.4,4.7
463,aksay,0,KZ,1567459840,78,51.17,53.01,48.29,5.37
464,kalemie,47,CD,1567459841,58,-5.95,29.2,70.43,2.66
465,belomorsk,37,RU,1567459841,85,64.52,34.76,60.17,8.3
466,kisesa,84,TZ,1567459841,71,-2.55,33.05,72.59,5.99
467,praia da vitoria,0,BR,1567459842,36,-20.25,-43.81,84.2,6.93
468,north platte,100,NG,1567459842,93,4.97,7.66,75.11,3.29
469,saint-prosper,100,CA,1567459843,95,46.21,-70.48,61.0,1.01
470,san juan,41,ML,1567459795,66,13.3,-4.9,83.21,5.35
471,tabas,0,IR,1567459843,16,33.6,56.92,87.8,4.7
472,bonnyville,75,CA,1567459844,77,54.27,-110.74,60.8,11.41
473,ondjiva,0,AO,1567459844,16,-17.07,15.73,68.27,6.53
474,mayumba,100,GA,1567459844,87,-3.44,10.65,72.77,10.16
475,kantunilkin,75,MX,1567459845,79,21.1,-87.49,86.0,6.93
476,yarada,75,IN,1567459845,88,17.65,83.27,78.8,2.24
477,sikeston,40,US,1567459661,55,36.88,-89.59,89.01,3.36
478,mataram,100,ID,1567459846,97,-5.32,105.06,68.09,3.22
479,garissa,0,KE,1567459846,72,-0.46,39.64,75.29,21.09
480,manggar,99,ID,1567459847,91,-2.88,108.27,74.39,3.02
481,san pedro,41,ML,1567459802,66,13.3,-4.9,83.21,5.35
482,langarud,75,IR,1567459847,83,37.2,50.15,73.4,1.81
483,yatou,75,CM,1567459848,100,3.63,9.81,77.0,1.12
484,tabou,95,CI,1567459848,94,4.42,-7.36,73.49,4.25
485,arman,100,RU,1567459849,90,59.7,150.17,47.57,0.76
486,jalu,0,LY,1567459849,23,29.03,21.55,88.07,10.78
487,shumikha,100,RU,1567459849,98,55.23,63.28,46.85,4.47
488,lokomotivnyy,0,RU,1567459850,89,53.01,60.57,41.63,6.73
489,marzuq,90,YE,1567459851,37,14.4,46.47,81.05,8.66
490,kununurra,0,AU,1567459851,87,-15.77,128.74,55.4,1.7
491,calama,0,CL,1567459853,4,-22.46,-68.93,71.6,19.46
492,nizwa,0,OM,1567459853,43,22.93,57.53,83.21,2.04
493,dakar,40,SN,1567459853,94,14.69,-17.45,80.6,13.2
494,dzhebariki-khaya,100,RU,1567459854,91,62.22,135.8,47.21,5.21
495,mezen,74,RU,1567459854,84,65.85,44.24,58.55,7.67
496,tomatlan,83,MX,1567459854,70,19.93,-105.25,86.63,12.84
497,honavar,100,IN,1567459855,81,14.28,74.45,81.41,17.13
498,campos novos,0,PT,1567459855,64,41.97,-8.7,79.0,4.7
499,manavalakurichi,40,IN,1567459856,88,8.13,77.3,78.8,11.74
500,jasper,1,US,1567459581,46,33.83,-87.28,93.99,5.82
501,jakar,100,BT,1567459856,97,27.55,90.75,53.33,1.01
502,andrews,40,US,1567459857,18,32.32,-102.55,93.2,8.05
503,awbari,0,LY,1567459857,23,26.59,12.77,87.35,9.78
504,pangnirtung,90,CA,1567459857,100,66.15,-65.72,42.8,9.17
505,eydhafushi,100,MV,1567459858,76,5.1,73.07,82.31,7.78
506,ballina,100,IE,1567459858,99,54.11,-9.15,59.0,24.05
507,manitouwadge,20,CA,1567459858,44,49.12,-85.84,57.2,10.29
508,fortuna,40,US,1567459679,68,40.6,-124.16,86.0,12.75
509,conde,6,BR,1567459859,89,-11.81,-37.61,71.15,4.52
510,tshikapa,63,CD,1567459859,70,-6.42,20.79,76.37,2.3
511,alice springs,0,ZA,1567459860,95,-32.79,26.83,45.95,2.19
512,beterou,100,BJ,1567459860,96,9.2,2.26,72.59,5.64
513,saquena,81,PE,1567459861,55,-4.67,-73.52,88.25,2.95
514,yar-sale,99,RU,1567459861,74,66.83,70.83,47.75,11.18
515,falavarjan,0,IR,1567459862,18,32.56,51.51,66.2,4.7
516,mandalgovi,18,MN,1567459862,40,45.76,106.27,63.59,8.16
517,sars,100,RU,1567459862,98,56.55,57.14,47.39,8.3
518,staroutkinsk,100,RU,1567459863,98,57.23,59.33,43.43,4.47
519,hammerfest,75,NO,1567459863,93,70.66,23.68,50.0,23.04
520,hasaki,75,JP,1567459864,94,35.73,140.83,75.2,5.82
521,ekhabi,100,RU,1567459864,93,53.51,142.97,54.23,19.84
522,ayan,0,IR,1567459864,53,38.23,44.7,55.85,1.16
523,barguzin,63,RU,1567459865,81,53.62,109.63,48.11,2.19
524,malanje,43,AO,1567459866,61,-9.54,16.35,73.85,7.34
